Ano,Equipe,J,PTS,PTSC,2PTST,2PTSC,P2PTS,3PTST,3PTSC,P3PTS,LLT,LLC,PLL,TREB,REBD,REBO,ASS,RB,T,TF,ERR,EFF,Liga
2007,Anchieta Fears,9,541,445,359,160,44.6,133,47,35.3,158,80,50.6,300,184,116,101,72,21,112,64,496,Estadual Amador
2007,APCEF-RJ,8,259,520,244,80,32.8,66,17,25.8,98,48,49,167,119,48,44,46,23,87,87,102,Estadual Amador
2007,Botafogo FR,8,433,393,313,142,45.4,98,20,20.4,165,89,53.9,210,126,84,57,85,9,131,87,251,Estadual Amador
2007,Central Única das Favelas,13,901,565,518,307,59.3,141,42,29.8,254,161,63.4,325,217,108,159,107,34,154,117,852,Estadual Amador
2007,Costa Verde/Itaguaí,8,221,422,254,77,30.3,38,8,21.1,105,43,41,135,82,53,45,45,8,139,127,-81,Estadual Amador
2007,Faculdade Paraíso,10,550,468,404,181,44.8,73,21,28.8,201,125,62.2,309,185,124,126,80,25,139,92,508,Estadual Amador
2007,Iguaçu Basquete Clube,10,451,577,372,153,41.1,109,21,19.3,158,82,51.9,284,198,86,113,70,17,168,139,245,Estadual Amador
2007,Iguaçu BC 2,10,326,552,310,112,36.1,101,24,23.8,76,30,39.5,222,139,83,59,67,36,137,148,104,Estadual Amador
2007,Paracambi Basquetebol,9,483,427,347,161,46.4,100,19,19,184,104,56.5,217,139,78,83,87,18,126,102,313,Estadual Amador
2007,Vila da Penha,12,709,505,439,247,56.3,110,29,26.4,217,128,59,335,206,129,120,120,23,165,97,683,Estadual Amador
2008,Anchieta Fears,2,112,125,77,32,41.6,29,8,27.6,51,24,47.1,52,31,21,27,22,0,14,35,71,Estadual Amador
2008,APCEF-RJ,2,59,130,68,20,29.4,31,4,12.9,18,7,38.9,39,33,6,25,16,0,0,39,14,Estadual Amador
2008,Bad Angels,4,204,167,159,65,40.9,33,7,21.2,88,53,60.2,80,68,12,53,34,9,57,59,109,Estadual Amador
2008,Iguaçu Basquete Clube,4,201,158,159,63,39.6,50,13,26,76,36,47.4,105,78,27,49,43,17,13,66,163,Estadual Amador
2008,Ilha Wolves,3,117,139,106,37,34.9,34,7,20.6,56,22,39.3,69,60,9,32,20,11,31,54,34,Estadual Amador
2008,Perphorma,4,237,173,189,86,45.5,51,11,21.6,77,32,41.6,125,80,45,47,51,2,64,68,142,Estadual Amador
